feature,importance
Отметка_РУ_3,0.24549752954905543
Семья_тип2,0.2181016485352389
Семья_тип,0.16254932091556634
Члены_семьи,0.06556547919561058
Отметка_МА_5,0.04641817210957077
Отметка_РУ_5,0.03745461147137747
Отметка_МА_4,0.022984413710785245
Отметка_МА_3,0.016554021188584095
Размер_НП_4,0.015358790140263786
Размер_НП_6,0.015270158803955972
Размер_НП_7,0.014989302535146269
Семья_другие_члены,0.014756543260840145
Размер_НП_8,0.014030539259866574
Размер_НП_2,0.014013348803230607
ТИП_НП_1,0.01302599918660096
Размер_НП_3,0.012979430589835092
ТИП_НП_2,0.01271347346211967
Размер_НП_5,0.011477785663448129
Размер_НП_1,0.010194965046340564
Отметка_РУ_4,0.008616765372578413
Семья_тип_дих_0,0.00633831532585227
Отметка_РУ_2,0.005519963222296156
Семья_тип_дих_1,0.002937587811551196
Отметка_МА_2,0.0028991080763975225
Отметка_МА_ ,0.002488845410734824
Отметка_РУ_ ,0.0024285556332916676
Семья_тип_дих_ ,0.0021521658251267115
Размер_НП_ ,0.0011194045104012931
ТИП_НП_ ,0.0010868878062097527
Отметка_РУ_99999,0.00026460105369471
Отметка_МА_99999,0.0002122665244289526
