feature,importance
full_text_chars,31.588980211887115
full_text_unique_words,22.160115722259796
full_text_words,14.278919109638803
country_text_words,10.315398658506323
place_text_words,8.284972257258396
family_text_words,3.2496984397642903
Семья_тип,1.891973128734163
Отметка_МА,1.5785370986130074
Члены_семьи,1.0278202401019418
Размер_НП,0.918521716044363
Семья_тип2,0.7936002544889666
mentions_profession,0.6758036268469585
mentions_culture,0.667662170928667
mentions_science,0.6038118515836606
Отметка_РУ,0.43019412465676204
mentions_country,0.3979287087022811
ТИП_НП,0.21944109551865135
mentions_mother,0.20589441185988502
mentions_tradition,0.1698568233857021
mentions_father,0.157937960515842
Семья_другие_члены,0.13696633702071942
Семья_тип_дих,0.12356089151325096
mentions_sibling,0.09907104791421913
mentions_volunteer_like,0.022696752530087825
full_text_nonempty,0.0006373597262196394
mentions_grand,0.0
